latitude,longitude,shock
51.1099600,17.0302250,0
51.1098250,17.0301633,8972
51.1097183,17.0300716,3292
51.1097233,17.0299450,7383
51.1097483,17.0297933,5590
51.1097766,17.0296600,4079
51.1097933,17.0295033,9180
51.1097716,17.0293416,6301
51.1097300,17.0291933,6847
51.1097250,17.0290733,4660
51.1097933,17.0289850,2473
51.1098816,17.0288750,0
51.1099716,17.0287416,0
51.1100716,17.0285816,0
51.1100866,17.0284200,0
51.1100400,17.0282333,0
51.1100350,17.0280700,0
51.1100600,17.0279500,0
51.1100800,17.0278433,0
51.1101200,17.0277283,6913
51.1101933,17.0275750,7728
51.1102166,17.0273500,0
51.1102316,17.0271983,0
51.1101966,17.0270800,0
51.1101750,17.0270033,0
51.1101733,17.0269883,0
51.1101683,17.0269800,0
51.1101550,17.0269800,0
51.1101483,17.0269850,0
51.1101483,17.0269850,0
51.1101483,17.0269850,0
51.1101483,17.0269850,0
51.1101483,17.0269850,0
51.1101483,17.0269850,0
51.1101483,17.0269850,0
51.1101483,17.0269850,0
51.1101483,17.0269850,0
51.1101483,17.0269850,0
51.1101483,17.0269850,0
51.1101483,17.0269850,0
51.1101533,17.0269816,994
51.1101516,17.0269733,0
51.1101716,17.0269483,1280
51.1101816,17.0268500,1071
51.1101716,17.0266233,0
51.1102383,17.0265983,0
51.1103033,17.0265533,1188
51.1102816,17.0264300,0
51.1103350,17.0263966,0
51.1103183,17.0263566,0
51.1102300,17.0263766,0
51.1101316,17.0264266,0
51.1099983,17.0264366,0
51.1098500,17.0264700,0
51.1097016,17.0265283,1183
51.1095400,17.0265900,0
51.1093833,17.0266533,0
51.1092583,17.0266866,0
51.1091683,17.0267033,0
51.1090833,17.0267400,0
51.1090233,17.0267783,0
51.1089916,17.0268133,0
51.1089933,17.0268183,960
51.1089433,17.0268483,0
51.1088333,17.0269266,0
51.1087400,17.0269733,0
51.1086750,17.0269433,0
51.1085583,17.0268366,0
51.1084000,17.0266850,0
51.1082550,17.0265983,0
51.1081933,17.0265666,0
51.1081733,17.0265633,0
51.1081316,17.0265350,0
51.1080700,17.0264833,0
51.1079716,17.0264250,0
51.1078766,17.0262883,0
51.1077483,17.0261400,0
51.1076133,17.0260066,0
51.1074950,17.0258666,0
51.1073916,17.0257216,0
51.1072966,17.0255700,0
51.1072650,17.0254199,0
51.1072900,17.0253033,2755
51.1073383,17.0252083,7243
51.1073916,17.0250866,0
51.1074666,17.0249666,0
51.1075466,17.0248300,0
51.1076283,17.0246816,0
51.1077033,17.0245050,0
51.1077866,17.0243333,918
51.1078583,17.0241283,1161
51.1079416,17.0239200,1048
51.1080116,17.0237283,0
51.1080800,17.0235633,0
51.1081566,17.0233999,2775
51.1082733,17.0232883,2187
51.1083750,17.0230733,3805
51.1084966,17.0229616,0
51.1086250,17.0229316,0
51.1087666,17.0229333,0
51.1088716,17.0229116,993
51.1089800,17.0228850,0
51.1091050,17.0228683,0
51.1092066,17.0228366,0
51.1093233,17.0228166,1957
51.1094416,17.0228316,0
51.1095966,17.0229050,6566
51.1097116,17.0229116,3768
51.1097950,17.0228883,3437
51.1099100,17.0228083,0
51.1100583,17.0227683,0
51.1102166,17.0227483,1197
51.1103250,17.0227450,943
51.1104216,17.0227366,6907
51.1104800,17.0227666,0
51.1104916,17.0227533,3656
51.1105500,17.0227550,4860
51.1106200,17.0227716,14278
51.1106450,17.0227733,0
51.1108000,17.0224900,0
51.1108000,17.0224900,0
51.1108033,17.0224800,0
51.1108083,17.0224800,0
51.1108100,17.0224816,2729
51.1108066,17.0224900,1978
51.1107566,17.0225133,9325
51.1106799,17.0225650,0
51.1105783,17.0226133,0
51.1104716,17.0226516,0
51.1103383,17.0226899,966
51.1101866,17.0227533,8084
51.1100283,17.0228316,4035
51.1098600,17.0228116,1910
51.1096950,17.0227800,2090
51.1095733,17.0227550,990
51.1094450,17.0227366,0
51.1092966,17.0227100,1848
51.1091283,17.0226899,1157
51.1089516,17.0226516,0
51.1088050,17.0226283,0
51.1086550,17.0226033,2034
51.1084583,17.0225949,5059
51.1082766,17.0226616,3492
51.1081266,17.0228000,0
51.1080133,17.0229650,3818
51.1079000,17.0231700,1110
51.1077750,17.0233750,1054
51.1076416,17.0236683,4050
51.1075400,17.0238616,1348
51.1074516,17.0240566,0
51.1073583,17.0242383,0
51.1072666,17.0244150,0
51.1071700,17.0245850,2345
51.1070666,17.0246550,8378
51.1070350,17.0247383,0
51.1070266,17.0248900,0
51.1070366,17.0249066,0
51.1070383,17.0249050,0
51.1070383,17.0249033,0
51.1070383,17.0249033,0
51.1070383,17.0249033,0
51.1070383,17.0249033,0
51.1070383,17.0249033,0
51.1070383,17.0249033,0
51.1070383,17.0249033,0
51.1070383,17.0249033,0
51.1070383,17.0249033,0
51.1070383,17.0249033,0
51.1070383,17.0249033,0
51.1070383,17.0249033,0
51.1070383,17.0249033,0
51.1070383,17.0249033,0
51.1070383,17.0249033,0
51.1070383,17.0249033,0
51.1070383,17.0249033,0
51.1070383,17.0249033,0
51.1070383,17.0249033,0
51.1070216,17.0249550,0
51.1069833,17.0251166,0
51.1069466,17.0253083,1900
51.1068816,17.0254883,0
51.1067950,17.0256650,0
51.1067283,17.0258716,0
51.1066416,17.0260700,0
51.1065400,17.0262300,0
51.1064250,17.0263916,0
51.1063233,17.0266216,2308
51.1062083,17.0268500,0
51.1060883,17.0271000,0
51.1059733,17.0273433,3148
51.1058483,17.0276133,2404
51.1057183,17.0279083,3071
51.1055800,17.0281966,3324
51.1054566,17.0284966,2026
51.1053216,17.0287650,928
51.1051800,17.0290266,0
51.1050450,17.0292766,0
51.1049216,17.0295116,0
51.1047933,17.0297566,0
51.1046783,17.0299966,0
51.1045633,17.0302250,954
51.1044533,17.0303983,0
51.1044200,17.0305433,0
51.1044216,17.0305750,0
51.1044216,17.0305933,0
51.1044216,17.0305933,0
